search_request_id,search_request_created_at,estimated_duration,estimated_distance
16594133-cd69-4c90-b7d5-24f10c12ed53,2022-12-21T01:19:31Z,186,1100
569ff0d3-9277-4d58-9cc6-34c3527b6350,2022-12-21T01:20:37Z,306,1232
33127af6-a321-4a63-bebb-0fa7f009e91f,2022-12-21T01:21:17Z,3095,22451
0a41efe8-614b-4f2e-aeae-7b1b98ef2381,2022-12-21T01:20:12Z,2299,12340
7dde8040-b68d-47dd-95fd-0e81885e1909,2022-12-21T01:21:19Z,1138,4902
f044f3f1-3ac4-4b81-a21d-94973a09a104,2022-12-21T01:21:52Z,700,4693
36e24743-a18e-41e8-aaf5-eb2ec20c678b,2022-12-21T01:22:03Z,3095,22451
cb169acf-d965-4e2a-9b03-59cf43657922,2022-12-21T01:22:48Z,3097,22454
693857ae-8551-4d17-af4b-4ae27205ddc4,2022-12-21T01:26:16Z,1389,7147
b6559a84-73aa-452c-926b-ad4bf8fc58e8,2022-12-21T01:23:33Z,3095,22451
4efe5cfd-26ee-459f-a024-83eda2386bf6,2022-12-21T01:24:29Z,3095,22451
d1e9a3cd-f47e-425d-ad89-c5d509084d12,2022-12-21T01:32:26Z,2686,13685
87ad4436-272f-4c73-b93a-0f91d5c473b2,2022-12-21T01:37:49Z,2165,15116
761ccdb3-17f8-4b12-a272-7e9594435c73,2022-12-21T01:42:11Z,2189,11658
da7f4f0b-f334-49fe-b4d1-f414d1e45da4,2022-12-21T02:09:49Z,570,3700
b427473b-d40b-4a0f-9055-be577016c3a5,2022-12-21T02:24:22Z,1155,7381
5c1f5aa6-86ab-4981-9ece-5a1d7dcc0d53,2022-12-21T01:26:25Z,3095,22451
98f5cd42-8547-46cb-b035-4658b16813fe,2022-12-21T01:30:00Z,3095,22451
30c32f20-1555-499e-8ef0-b244ca296e87,2022-12-21T01:30:36Z,2089,12395
31ff9a20-6fd9-48a6-a5e8-1736138843b4,2022-12-21T01:31:19Z,2674,13673
e121372f-c777-4a0f-99e7-26eda308190b,2022-12-21T01:31:30Z,2222,13849
d666cf77-86a7-41ec-8426-c87158932c9b,2022-12-21T01:33:38Z,1025,5894
7d5f370f-3749-4324-890a-64ca5bd62b89,2022-12-21T01:33:55Z,3389,22311
ece44461-c241-4a40-b9c7-1d66e4f05922,2022-12-21T01:34:02Z,4307,25049
472799f1-6cae-4786-a1f3-96c3c9e782b1,2022-12-21T01:34:53Z,1024,5891
c1c80a5b-4891-4c93-b484-83db23a12514,2022-12-21T01:36:57Z,633,2875
41c52ea6-8830-4b72-a9c9-fa65b15e95a4,2022-12-21T01:38:06Z,2445,15130
1c5ffed4-7c4e-476f-9941-001e1d81eee8,2022-12-21T02:00:50Z,246,3223
8f28a0ae-d81b-4699-a215-4f3cdde8cba9,2022-12-21T02:04:11Z,1015,4215
579bc128-60cf-43f1-96f1-f22618aa9545,2022-12-21T02:06:43Z,3089,17149
88355276-eced-4105-9f31-7ffa5ca65028,2022-12-21T01:36:48Z,2664,14407
bdefb353-ae51-408a-8f00-415283e5a247,2022-12-21T01:59:20Z,2059,16907
ae5536aa-583a-4535-bcdb-1ca23909f56a,2022-12-21T02:34:53Z,4005,27049
c26b8778-cd9d-46f7-88cf-6f0e481c62de,2022-12-21T02:53:55Z,1331,6674
a34a50a8-5504-4b1d-9c84-4f2fe82f6161,2022-12-21T02:58:51Z,2100,11194
f885a7ae-21c0-460c-80c6-db3357244121,2022-12-21T01:36:55Z,1024,5892
cfd7fdb4-18af-4b5c-b00f-3323314518fe,2022-12-21T01:37:43Z,1024,5892
7cdee80e-a5e7-4f71-b751-ef3a4fc0b2cf,2022-12-21T01:41:26Z,2191,11657
c0a9a65a-1fe4-420f-9df3-3a6b35caac33,2022-12-21T01:42:15Z,2830,15569
31719276-7dec-408f-b78e-dbfbba09aa32,2022-12-21T01:42:59Z,1590,8516
5665291a-fd88-465f-a0c3-72b6b8858a78,2022-12-21T01:47:02Z,3206,22678
7ada67c6-f509-47b4-862c-93edaa2e6fa3,2022-12-21T01:52:54Z,1634,10234
a8a886fa-2e30-49d3-bfe7-3f019734b884,2022-12-21T01:56:24Z,1639,10260
13c4f0a6-1fcb-4a9f-a0d6-efa64626975d,2022-12-21T02:05:49Z,1874,9130
bd6fdc64-fb2f-4b00-bfe0-bdfbb47ed6c5,2022-12-21T02:10:53Z,3619,18729
7a35f0c2-8337-4f56-9280-09c42d8529da,2022-12-21T02:11:43Z,598,2115
71ee45d6-a44b-4522-9d4e-0e0499f5c7ab,2022-12-21T02:15:59Z,2785,16997
2c78826c-8d7e-40ea-9cc2-157cb888cc08,2022-12-21T01:43:26Z,2166,15119
4d292694-bff7-4d33-80dd-a7e1f562543a,2022-12-21T01:43:28Z,1524,8708
